,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
49505,9e-06,udp,-,INT,2,0,168,0,111111.1072,254,0,74666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49508,9e-06,udp,-,INT,2,0,168,0,111111.1072,254,0,74666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,2,2,1,1,1,1,0,0,0,2,1,0,Reconnaissance,1
49514,9e-06,udp,-,INT,2,0,168,0,111111.1072,254,0,74666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49529,0.190014,tcp,http,FIN,10,6,780,268,78.94155,254,252,29555.7168,9430.883789,2,1,19.334778,36.538801,1031.682144,61.62366,255,744984438,1323643592,255,0.053212,0.007317,0.045895,78,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Reconnaissance,1
49537,6e-06,udp,-,INT,2,0,168,0,166666.6608,254,0,112000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,2,2,1,2,1,1,0,0,0,2,1,0,Reconnaissance,1
49551,7.85664,ospf,-,INT,40,0,10880,0,4.963954,254,0,10801.56445,0.0,0,0,201.452313,0.0,234.329656,0.0,0,0,0,0,0.0,0.0,0.0,272,0,0,0,1,2,1,1,1,1,0,0,0,2,1,0,Reconnaissance,1
49567,0.79001,tcp,-,FIN,10,8,564,354,21.518716,254,252,5144.23877,3139.200928,2,1,82.971667,105.520711,5910.459241,151.727969,255,712494965,1853343378,255,0.122888,0.051356,0.071532,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49570,9e-06,udp,-,INT,2,0,168,0,111111.1072,254,0,74666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49572,0.486034,tcp,http,FIN,10,8,820,354,34.976976,254,252,12147.29785,5102.523438,2,1,52.731111,64.89357,3698.000351,122.46368,255,489321180,4210802183,255,0.082082,0.03177,0.050312,82,44,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Reconnaissance,1
49575,3.8e-05,udp,-,INT,2,0,168,0,26315.79064,254,0,17684212.0,0.0,0,0,0.038,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49580,0.670717,tcp,-,FIN,10,8,564,354,25.34601,254,252,6059.1875,3697.535645,2,1,73.362333,94.792,5696.356405,138.841594,255,1072824059,4110751935,255,0.061236,0.00717,0.054066,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49581,0.643108,tcp,-,FIN,10,8,564,354,26.434129,254,252,6319.311523,3856.272949,2,1,69.866333,90.24543,5462.929979,137.622828,255,1487407565,4050942360,255,0.058463,0.011385,0.047078,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49591,9e-06,sctp,-,INT,2,0,440,0,111111.1072,254,0,195555552.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,220,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49595,0.630355,tcp,-,FIN,10,8,564,354,26.96893,254,252,6447.160645,3934.291016,2,1,68.650778,89.095141,5419.384472,137.174438,255,1497805417,4140464530,255,0.050963,0.006684,0.044279,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49604,0.639282,tcp,-,FIN,10,8,564,354,26.592334,254,252,6357.131836,3879.352295,2,1,70.440111,90.185,5401.297737,141.983672,255,185574942,1050334748,255,0.05812,0.007978,0.050142,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
49610,0.630223,tcp,-,FIN,10,8,564,354,26.97458,254,252,6448.51123,3935.115234,2,1,69.521778,87.896289,5431.037098,138.325469,255,1583358565,1359305928,255,0.025939,0.014943,0.010996,56,44,0,0,1,1,1,1,1,1,0,0,0,1,2,0,Reconnaissance,1
49611,0.636269,tcp,-,FIN,10,8,564,354,26.71826,254,252,6387.23584,3897.722656,2,1,70.195556,89.747,5514.390849,137.940594,255,3343574210,3685158768,255,0.05362,0.008034,0.045586,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
